id,sucursal_id,saldo_total_sucursal,caja_teorica_sucursal,total_atm,total_ats,total_tesoro,total_cajas_ventanilla,total_buzon_depositos,total_recaudacion,total_caja_chica,total_otros,direccion_sucursal,latitud,longitud,observacion,medido_en,sucursal_numero,sucursal_nombre,telefonos,calle,altura,barrio,comuna,codigo_postal,codigo_postal_argentino
67,SUC-369,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,SAN JUAN 3599,-34.625339033036,-58.415990966521,,2025-09-21 21:21:08.237651+00,4,Boedo,4931-1606/4931-8598/4931-8757/4931-2163,SAN JUAN,3599,Boedo,5,1233,C1233ABF
68,SUC-412,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,SAN MARTIN AV 2349,-34.603788420921,-58.460804547976,,2025-09-21 21:21:08.237651+00,38,Paternal,4581-0918/4581-1841/4581-9553/4582-5211,SAN MARTIN AV,2349,Paternal,15,1416,C1416CRL
69,SUC-421,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,SANTA FE 861,-34.595081576842,-58.379204531844,,2025-09-21 21:21:08.237651+00,116,Retiro,4311-1870/4311-4363/4312-7922/4315-8308,SANTA FE,861,Retiro,1,1059,C1059ABC
70,SUC-414,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,SANTA FE 1630,-34.595897077038,-58.39051695769,,2025-09-21 21:21:08.237651+00,17,Recoleta,4811-3863/4815-6564/4815-6567/4812-8567,SANTA FE,1630,Recoleta,2,1060,C1060ABP
71,SUC-409,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,SANTA FE 2121,-34.595431753279,-58.397710565748,,2025-09-21 21:21:08.237651+00,332,Palermo,4821-1452/4826-9633/4826-8677/4827-1660,SANTA FE,2121,Recoleta,2,1123,C1123AAD
72,SUC-406,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,SANTA FE 2699,-34.593405648808,-58.40486630611,,2025-09-21 21:21:08.237651+00,165,Palermo,4824-3015/4826-8116/4826-8354/4826-8408,SANTA FE,2699,Recoleta,2,1425,C1425BGB
73,SUC-403,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,SANTA FE 5000,-34.57717410538,-58.430046715902,,2025-09-21 21:21:08.237651+00,26,Palermo,4773-4868/4773-8327/4773-3191/4777-9280/4777-9281,SANTA FE,5000,Palermo,14,1425,C1425BHY
74,SUC-388,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,SARMIENTO 400,-34.604377632666,-58.372273285312,,2025-09-21 21:21:08.237651+00,141,Microcentro,4331-3541/4331-3542/4331-3543/4331-3544/4331-3545,SARMIENTO,400,San Nicolas,1,1041,C1041AAH
75,SUC-433,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,SAYOS 5717,-34.677934037742,-58.474852612472,,2025-09-21 21:21:08.237651+00,137,Villa Lugano,4602-3554/4602-3565/4602-4635,SAYOS,5717,Villa Lugano,8,1439,C1439CAU
76,SUC-407,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,SCALABRINI ORTIZ RAUL 2486,-34.585342532139,-58.416438036116,,2025-09-21 21:21:08.237651+00,174,Palermo,4833-1651/4833-1685/4833-1732/4833-1756,SCALABRINI ORTIZ RAUL,2486,Palermo,14,1425,C1425DBS
77,SUC-437,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,TRIUNVIRATO 4274,-34.577841739044,-58.481082208308,,2025-09-21 21:21:08.237651+00,339,Villa Urquiza,4522-9871/4522-9986/4522-9908/4522-1661,TRIUNVIRATO,4274,Villa Urquiza,12,1431,C1431FBS
78,SUC-436,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,TRIUNVIRATO 5201,-34.570912313812,-58.490538227253,,2025-09-21 21:21:08.237651+00,120,Villa Urquiza,4543-7317/4543-7783/4545-34.91/4541-1641,TRIUNVIRATO,5201,Villa Urquiza,12,1431,C1431FCF
79,SUC-386,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,TUCUMAN 101,-34.600477399286,-58.369434952149,,2025-09-21 21:21:08.237651+00,39,Microcentro,4312-58.04/4312-58.12/4312-58.18,TUCUMAN,101,San Nicolas,1,1049,C1049AAC
80,SUC-422,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,URUGUAY 1031,-34.596636050906,-58.387036330119,,2025-09-21 21:21:08.237651+00,302,Retiro,4813-1391/4813-1505/4813-3161/4813-9094,URUGUAY,1031,Retiro,1,1016,C1016ACA
81,SUC-418,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,VIAMONTE 1799,-34.6007630931,-58.392556980361,,2025-09-21 21:21:08.237651+00,305,Recoleta,4811-0369/4811-3323/4811-4526,VIAMONTE,1799,San Nicolas,1,1055,C1055ABG
5,SUC-410,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ASAMBLEA 695,-34.634526983677,-58.435622187268,,2025-09-21 21:21:08.237651+00,2,Parque Chacabuco,4921-6310/4921-4884/4922-2744/4923-6701,ASAMBLEA,695,Parque Chacabuco,7,1424,C1424COH
